loc_name,loc_group,measurement_date,Ref_elev,GW_elev,Well_Depth,depth_unit,DepthToWater,task_code,x_coord,y_coord
W-010,Wells Upper Surficial,10/21/2024,136.81,121.78,22.21,ft,15.03,2024-Q4-WL,2023659.9,744897.85
W-100,Wells Upper Surficial,10/21/2024,133.47,122.92,15.1,ft,10.55,2024-Q4-WL,2023636.36,745126.22
W-102,Wells Lower Surficial,10/21/2024,136.86,126.33,33.45,ft,10.53,2024-Q4-WL,2024124.44,745090.12
W-103,Wells Lower Surficial,10/21/2024,134.87,117.01,41.78,ft,17.86,2024-Q4-WL,2024483.13,744466.69
W-104,Wells Upper Surficial,10/21/2024,118.48,112.46,20.37,ft,6.02,2024-Q4-WL,2024875.51,744154.72
W-105,Wells Upper Surficial,10/21/2024,117.57,109.51,26.93,ft,8.06,2024-Q4-WL,2024138,743843.47
W-106,Wells Lower Surficial,10/21/2024,118.69,108.6,32.68,ft,10.09,2024-Q4-WL,2023371.32,744431.55
W-107,Wells Lower Surficial,10/21/2024,115.23,108.88,37.22,ft,6.35,2024-Q4-WL,2023252.18,744034.11
W-108,Wells Lower Surficial,10/21/2024,115.41,108.73,35.87,ft,6.68,2024-Q4-WL,2023295.23,743611.35
W-109,Wells Lower Surficial,10/21/2024,115.68,108.83,34.97,ft,6.85,2024-Q4-WL,2022981.06,743731.82
W-011,Wells Upper Surficial,10/21/2024,140.76,122.48,27.23,ft,18.28,2024-Q4-WL,2023914.56,744743.05
W-110,Wells Lower Surficial,10/21/2024,116.42,109.07,36.98,ft,7.35,2024-Q4-WL,2022508.26,744051.95
W-111,Wells Lower Surficial,10/21/2024,116.92,112.04,84.54,ft,4.88,2024-Q4-WL,2022564.93,744378.27
W-112,Wells Lower Surficial,10/21/2024,116.07,109.18,36.99,ft,6.89,2024-Q4-WL,2022027.51,744101.62
W-113,Wells Lower Surficial,10/21/2024,138.55,128.7,39.02,ft,9.85,2024-Q4-WL,2024004.27,746811.2
W-114,Wells Upper Surficial,10/21/2024,138.75,129.41,23.52,ft,9.34,2024-Q4-WL,2024001.48,746806.04
W-115,Wells Lower Surficial,10/21/2024,141.71,123.43,47.92,ft,18.28,2024-Q4-WL,2023435.8,746784.3
W-116,Wells Upper Surficial,10/21/2024,141.91,123.98,23.15,ft,17.93,2024-Q4-WL,2023433.25,746778.95
W-117,Wells Lower Surficial,10/21/2024,143.76,121.46,46.77,ft,22.3,2024-Q4-WL,2023237.7,746432.66
W-118,Wells Upper Surficial,10/21/2024,143.74,123.31,32.43,ft,20.43,2024-Q4-WL,2023241.08,746437.24
W-119,Wells Upper Surficial,10/21/2024,142.24,126.69,33.01,ft,15.55,2024-Q4-WL,2023805.69,746515.76
W-120,Wells Lower Surficial,10/21/2024,142.34,128.28,36.85,ft,14.06,2024-Q4-WL,2024014.35,745967.14
W-121,Wells Upper Surficial,10/21/2024,142.24,128.11,25.21,ft,14.13,2024-Q4-WL,2024008.09,745966.73
W-122,Wells Lower Surficial,10/21/2024,136.84,128.46,33.11,ft,8.38,2024-Q4-WL,2024559.81,746087.76
W-123,Wells Lower Surficial,10/21/2024,136.05,122.24,34.58,ft,13.81,2024-Q4-WL,2024283.69,744647.8
W-124,Wells Lower Surficial,10/21/2024,117.73,108.84,33.55,ft,8.89,2024-Q4-WL,2024882.9,744153.42
W-125,Wells Lower Surficial,10/21/2024,117.84,108.57,47.25,ft,9.27,2024-Q4-WL,2024142.28,743837.31
W-126,Wells Lower Surficial,10/21/2024,115.89,108.64,46.5,ft,7.25,2024-Q4-WL,2024650.41,743747.34
W-013R,Wells Upper Surficial,10/21/2024,136.13,123.8,20.21,ft,12.33,2024-Q4-WL,2024279.25,744648.71
W-014,Wells Upper Surficial,10/21/2024,137.83,121.21,30.48,ft,16.62,2024-Q4-WL,2024478.65,744603.2
W-015,Wells Upper Surficial,10/21/2024,127.9,116.27,21.8,ft,11.63,2024-Q4-WL,2023716.79,744663.42
W-016,Wells Upper Surficial,10/21/2024,125.96,121.82,13.5,ft,4.14,2024-Q4-WL,2024060.26,744602.32
W-017,Wells Lower Surficial,10/21/2024,139.27,125.17,29.63,ft,14.1,2024-Q4-WL,2023785.38,745055.22
W-018R,Wells Lower Surficial,10/21/2024,136.71,124.49,27.23,ft,12.22,2024-Q4-WL,2023939.25,745012.69
W-019B,Wells Lower Surficial,10/21/2024,142.85,117.88,42.92,ft,24.97,2024-Q4-WL,2022552.95,746172.68
W-020,Wells Upper Surficial,10/21/2024,116.16,108.97,16.33,ft,7.19,2024-Q4-WL,2022975.38,743739.63
W-022,Wells Upper Surficial,10/21/2024,136.51,125.39,14.34,ft,11.12,2024-Q4-WL,2024116.4,744960.92
W-022,Wells Upper Surficial,10/21/2024,136.51,125.39,14.34,ft,11.12,2024-Q4-WL,2024116.4,744960.92
W-023R,Wells Upper Surficial,10/21/2024,140.47,121.32,23.9,ft,19.15,2024-Q4-WL,2024851.26,744674.74
W-024,Wells Upper Surficial,10/21/2024,141.94,132.91,17.09,ft,9.03,2024-Q4-WL,2027344.76,746742.56
W-025,Wells Upper Surficial,10/21/2024,115.88,108.05,28.77,ft,7.83,2024-Q4-WL,2022728.99,742114.33
W-026,Wells Upper Surficial,10/21/2024,142.21,117.26,32.22,ft,24.95,2024-Q4-WL,2023417.69,744855.29
W-027,Wells Upper Surficial,10/21/2024,121.87,111.96,16.33,ft,9.91,2024-Q4-WL,2023708.23,744383.9
W-028,Wells Upper Surficial,10/21/2024,138.88,126.73,17.2,ft,12.15,2024-Q4-WL,2024317.41,745121.78
W-029,Wells Upper Surficial,10/21/2024,138.61,126.71,15.5,ft,11.9,2024-Q4-WL,2024101.64,745182.77
W-030,Wells Upper Surficial,10/21/2024,138.81,126.65,16.78,ft,12.16,2024-Q4-WL,2024150.84,745095.16
W-032,Wells Upper Surficial,10/21/2024,140.34,121.48,23.85,ft,18.86,2024-Q4-WL,2023919.81,744742.1
W-033,Wells Lower Surficial,10/21/2024,139.33,123.93,21.32,ft,15.4,2024-Q4-WL,2023548.66,745402.99
W-035,Wells Upper Surficial,10/21/2024,139.07,128.05,22.86,ft,11.02,2024-Q4-WL,2024227.93,745716.7
W-036,Wells Upper Surficial,10/21/2024,136.29,128.56,21.93,ft,7.73,2024-Q4-WL,2024573.17,746084.83
W-037,Wells Upper Surficial,10/21/2024,139.04,127.64,22.92,ft,11.4,2024-Q4-WL,2024230.73,745407.39
W-038,Wells Upper Surficial,10/21/2024,136.51,126.35,19.97,ft,10.16,2024-Q4-WL,2024192.97,745250.31
W-039,Wells Upper Surficial,10/21/2024,141.15,125.56,25.25,ft,15.59,2024-Q4-WL,2023656.67,745587.41
W-040,Wells Upper Surficial,10/21/2024,139.26,128.04,17.23,ft,11.22,2024-Q4-WL,2024112.48,745646.53
W-041R,Wells Upper Surficial,10/21/2024,133.81,118.32,27.09,ft,15.49,2024-Q4-WL,2023252.59,745372.89
W-042,Wells Upper Surficial,10/21/2024,140.96,116.2,32.95,ft,24.76,2024-Q4-WL,2023203.32,745072.35
W-043,Wells Upper Surficial,10/21/2024,141.33,127.16,24.22,ft,14.17,2024-Q4-WL,2023600.12,745904.31
W-044,Wells Lower Surficial,10/21/2024,134.86,116.79,29.9,ft,18.07,2024-Q4-WL,2022950.11,745579.89
W-045,Wells Upper Surficial,10/21/2024,140.02,127.96,18.16,ft,12.06,2024-Q4-WL,2024296.1,745644.03
W-046,Wells Lower Surficial,10/21/2024,134.74,121.11,28.18,ft,13.63,2024-Q4-WL,2023494.46,745154.59
W-047,Wells Lower Surficial,10/21/2024,141.9,116.3,46.9,ft,25.6,2024-Q4-WL,2023515.87,744633.77
W-048,Wells Lower Surficial,10/21/2024,142.56,116.8,44.04,ft,25.76,2024-Q4-WL,2023290.44,744913.22
W-004R,Wells Upper Surficial,10/21/2024,119.82,109.95,17.31,ft,9.87,2024-Q4-WL,2023932.04,744339.08
W-051,Wells Upper Surficial,10/21/2024,136.51,127.98,14.44,ft,8.53,2024-Q4-WL,2024270.83,745583.86
W-052,Wells Upper Surficial,10/21/2024,136.19,127.79,14.98,ft,8.4,2024-Q4-WL,2024260.17,745542.36
W-053,Wells Upper Surficial,10/21/2024,136.54,127.89,15.4,ft,8.65,2024-Q4-WL,2024247.56,745496
W-054,Wells Upper Surficial,10/21/2024,136.52,127.67,15.55,ft,8.85,2024-Q4-WL,2024229.98,745442.55
W-055,Wells Upper Surficial,10/21/2024,136.63,127.13,15,ft,9.5,2024-Q4-WL,2024214,745397.65
W-056,Wells Upper Surficial,10/21/2024,136.68,127.55,14.97,ft,9.13,2024-Q4-WL,2024203.75,745351.31
W-057,Wells Upper Surficial,10/21/2024,136.73,127.12,14.95,ft,9.61,2024-Q4-WL,2024190.79,745307.43
W-058,Wells Upper Surficial,10/21/2024,136.37,125.94,15,ft,10.43,2024-Q4-WL,2024176.33,745254.09
W-059,Wells Upper Surficial,10/21/2024,136.42,125.84,15,ft,10.58,2024-Q4-WL,2024165.88,745219.37
W-006,Wells Lower Surficial,10/21/2024,136.46,125.88,27.25,ft,10.58,2024-Q4-WL,2024109.62,744963.29
W-060,Wells Lower Surficial,10/21/2024,140.2,118.33,40.78,ft,21.87,2024-Q4-WL,2023286.81,745835.58
W-061,Wells Upper Surficial,10/21/2024,140.6,122.83,26.75,ft,17.77,2024-Q4-WL,2023288.26,745829.26
W-062,Wells Lower Surficial,10/21/2024,128.38,115.25,27.55,ft,13.13,2024-Q4-WL,2022726.08,745485.46
W-063,Wells Lower Surficial,10/21/2024,141.02,115.04,44.08,ft,25.98,2024-Q4-WL,2023019.42,745098.13
W-064,Wells Upper Surficial,10/21/2024,142.75,116.88,34.19,ft,25.87,2024-Q4-WL,2023511.33,744643.8
W-065,Wells Lower Surficial,10/21/2024,140.95,127.69,34.41,ft,13.26,2024-Q4-WL,2024027.45,745693.7
W-066,Wells Upper Surficial,10/21/2024,140.91,127.94,25.19,ft,12.97,2024-Q4-WL,2024027.17,745687.82
W-067,Wells Upper Surficial,10/21/2024,135.26,118.12,34.37,ft,17.14,2024-Q4-WL,2024485.79,744459.59
W-068,Wells Lower Surficial,10/21/2024,116.53,110.79,21.22,ft,5.74,2024-Q4-WL,2022496.22,745329.25
W-069,Wells Upper Surficial,10/21/2024,140.64,132.32,21.03,ft,8.32,2024-Q4-WL,2026064.29,745726.92
W-070,Wells Lower Surficial,10/21/2024,141,129.08,51.88,ft,11.92,2024-Q4-WL,2026062.87,745719.22
W-072,Wells Upper Surficial,10/21/2024,136.29,127.66,14.46,ft,8.63,2024-Q4-WL,2024162.69,745450.25
W-073,Wells Upper Surficial,10/21/2024,136.45,127.45,15.64,ft,9,2024-Q4-WL,2024166.25,745339.31
W-074,Wells Lower Surficial,10/21/2024,139.93,127.11,33.84,ft,12.82,2024-Q4-WL,2024067.17,745325.13
W-075,Wells Upper Surficial,10/21/2024,139.85,127.4,18.54,ft,12.45,2024-Q4-WL,2024064.76,745317.23
W-076,Wells Upper Surficial,10/21/2024,136.85,126.66,14.88,ft,10.19,2024-Q4-WL,2024223.52,745181.19
W-077,Wells Upper Surficial,10/21/2024,136.53,127.27,15.27,ft,9.26,2024-Q4-WL,2024346.11,745158.93
W-078,Wells Upper Surficial,10/21/2024,136.31,126.71,15.06,ft,9.6,2024-Q4-WL,2024371.03,745117.75
W-079,Wells Upper Surficial,10/21/2024,136.12,127.62,15.3,ft,8.5,2024-Q4-WL,2024450.27,745200.4
W-007A,Wells Upper Surficial,10/21/2024,135.06,123.35,20.09,ft,11.71,2024-Q4-WL,2023872.22,744907.43
W-080,Wells Upper Surficial,10/21/2024,135.87,125.5,15.27,ft,10.37,2024-Q4-WL,2024414.69,745024.39
W-081,Wells Upper Surficial,10/21/2024,136.43,124.64,15.29,ft,11.79,2024-Q4-WL,2024469.85,744938.6
W-082,Wells Upper Surficial,10/21/2024,136.23,123.84,15.26,ft,12.39,2024-Q4-WL,2024594.17,744895.93
W-083,Wells Upper Surficial,10/21/2024,135.81,123.4,26.03,ft,12.41,2024-Q4-WL,2024667.49,744975.06
W-084,Wells Upper Surficial,10/21/2024,135.99,129.31,20.3,ft,6.68,2024-Q4-WL,2024721.5,745177.25
W-085,Wells Lower Surficial,10/21/2024,138.69,118.71,47.75,ft,19.98,2024-Q4-WL,2025107.68,745079.71
W-086,Wells Upper Surficial,10/21/2024,138.77,119.8,38.2,ft,18.97,2024-Q4-WL,2025100.8,745082.29
W-087,Wells Lower Surficial,10/21/2024,136.39,128.26,32.85,ft,8.13,2024-Q4-WL,2024385.81,745952.76
W-088,Wells Lower Surficial,10/21/2024,143.1,120.09,44.33,ft,23.01,2024-Q4-WL,2022883.96,746574.77
W-089,Wells Upper Surficial,10/21/2024,142.82,120.96,28.17,ft,21.86,2024-Q4-WL,2022888.25,746583.34
W-090,Wells Lower Surficial,10/21/2024,143.33,116.46,43.02,ft,26.87,2024-Q4-WL,2022011.55,745981.12
W-091,Wells Upper Surficial,10/21/2024,142.81,116.05,28.24,ft,26.76,2024-Q4-WL,2022016.77,745976.36
W-092,Wells Lower Surficial,10/21/2024,123.33,108.76,36.83,ft,14.57,2024-Q4-WL,2023714.92,744382.47
W-093,Wells Lower Surficial,10/21/2024,136.49,126.99,34.91,ft,9.5,2024-Q4-WL,2024346.84,745162.26
W-094,Wells Lower Surficial,10/21/2024,118.04,109.35,31.95,ft,8.69,2024-Q4-WL,2021983.56,744728.03
W-095,Wells Lower Surficial,10/21/2024,116.4,109.13,36.27,ft,7.27,2024-Q4-WL,2022553.46,744375.66
W-096,Wells Upper Surficial,10/21/2024,116.46,108.69,32.8,ft,7.77,2024-Q4-WL,2024643.81,743746.78
W-097,Wells Upper Surficial,10/21/2024,116.93,112.5,21.94,ft,4.43,2024-Q4-WL,2024547.76,744244.05
W-098,Wells Upper Surficial,10/21/2024,138.65,114.86,29.89,ft,23.79,2024-Q4-WL,2022894.54,745190.42
W-099,Wells Lower Surficial,10/21/2024,133.84,121.77,23.93,ft,12.07,2024-Q4-WL,2023640.54,745123.51
W-001R,Wells Lower Surficial,10/21/2024,136.95,128.08,33.2,ft,8.87,2024-Q4-WL,2024255.52,745689.84
W-002R,Wells Lower Surficial,10/21/2024,139.93,121.67,31.29,ft,18.26,2024-Q4-WL,2023458.22,745325.15
